"","occupation","major_category","minor_category","total_workers","workers_male","workers_female","percent_female","total_earnings","total_earnings_male","total_earnings_female","wage_percent_of_male","date_collected"
"1","Chief executives","Management, Business, and Financial","Management",1024259,782400,241859,23.6,120254,126142,95921,76.0420795611295,2020-01-01
"2","General and operations managers","Management, Business, and Financial","Management",977284,681627,295657,30.3,73557,81041,60759,74.97316173295,2020-01-01
"3","Legislators","Management, Business, and Financial","Management",14815,8375,6440,43.5,67155,71530,65325,91.3253180483713,2020-01-01
"4","Advertising and promotions managers","Management, Business, and Financial","Management",43015,17775,25240,58.7,61371,75190,55860,74.2917941215587,2020-01-01
"5","Marketing and sales managers","Management, Business, and Financial","Management",754514,440078,314436,41.7,78455,91998,65040,70.6971890693276,2020-01-01
"6","Public relations and fundraising managers","Management, Business, and Financial","Management",44198,16141,28057,63.5,74114,90071,66052,73.3332593176494,2020-01-01
"7","Administrative services managers","Management, Business, and Financial","Management",109703,72873,36830,33.6,62187,66579,55079,82.7272863815918,2020-01-01
"8","Computer and information systems managers","Management, Business, and Financial","Management",489048,354369,134679,27.5,99167,101318,90940,89.7570027043566,2020-01-01
"9","Financial managers","Management, Business, and Financial","Management",990611,460842,529769,53.5,70456,90278,57406,63.5880280910078,2020-01-01
"10","Compensation and benefits managers","Management, Business, and Financial","Management",14656,3387,11269,76.9,71927,97552,68207,NA,2020-01-01
"11","Human resources managers","Management, Business, and Financial","Management",307004,125240,181764,59.2,67669,75328,64662,85.8405904842821,2020-01-01
"12","Training and development managers","Management, Business, and Financial","Management",41185,20111,21074,51.2,74735,80754,71091,88.0340292740917,2020-01-01
"13","Industrial production managers","Management, Business, and Financial","Management",218198,177200,40998,18.8,72414,74623,65033,87.148734304437,2020-01-01
"14","Purchasing managers","Management, Business, and Financial","Management",175540,96499,79041,45,71237,81528,62785,77.0103522716122,2020-01-01
"15","Transportation, storage, and distribution managers","Management, Business, and Financial","Management",185512,151841,33671,18.2,52058,52017,52259,100.465232520138,2020-01-01
"16","Farmers, ranchers, and other agricultural managers","Management, Business, and Financial","Management",499775,446121,53654,10.7,40638,41691,25310,60.7085462090139,2020-01-01
"17","Construction managers","Management, Business, and Financial","Management",469706,434849,34857,7.4,68101,69556,62198,89.4214733452182,2020-01-01
"18","Education administrators","Management, Business, and Financial","Management",708239,272330,435909,61.5,66889,78115,60580,77.5523266978173,2020-01-01
"19","Architectural and engineering managers","Management, Business, and Financial","Management",132575,120777,11798,8.9,121336,121690,113507,93.2755361985373,2020-01-01
"20","Food service managers","Management, Business, and Financial","Management",740359,407357,333002,45,36586,41164,31578,76.7126615489262,2020-01-01
"21","Funeral service managers","Management, Business, and Financial","Management",5439,4421,1018,18.7,70805,71617,52125,NA,2020-01-01
"22","Gaming managers","Management, Business, and Financial","Management",17294,10632,6662,38.5,51221,52127,47845,91.7854470811672,2020-01-01
"23","Lodging managers","Management, Business, and Financial","Management",96419,47382,49037,50.9,41824,50610,36533,72.1853388658368,2020-01-01
"24","Medical and health services managers","Management, Business, and Financial","Management",546042,171661,374381,68.6,69563,84450,64765,76.6903493191237,2020-01-01
"25","Natural sciences managers","Management, Business, and Financial","Management",16766,8633,8133,48.5,94448,121164,85416,70.4961869862336,2020-01-01
"26","Postmasters and mail superintendents","Management, Business, and Financial","Management",28282,12394,15888,56.2,65191,77465,56317,72.6999290001936,2020-01-01
"27","Property, real estate, and community association managers","Management, Business, and Financial","Management",414232,203818,210414,50.8,47936,57059,41743,73.1576087909006,2020-01-01
"28","Social and community service managers","Management, Business, and Financial","Management",279952,96503,183449,65.5,55473,62367,51933,83.2699985569292,2020-01-01
